PK_CLIENTES;customer_key;customer;customer_type;phone;line_of_business
b5148c76ad08051c9a690f1a2b54f2003a81ac8d8f05125a80421a411f3dd2c1;10027050;Your Market;G2;816-455-8733;Não informado
c2fc2b2ce4307546ed39d6cb12b9fff9906ef1376b57615da6ae3f113703d459;10019678;Laker Market;G2;816-455-8733;Não informado
267700d8dda6441d9b3af759acfdf81465d279f6d55ad877cc8101687201e154;10015824;Heurikon Shop;G2;816-455-8733;Não informado
eed96c494831301bc8e7ed36bb04c1b90babbc2642b64a2ea4851e05934ffd9a;10016588;Bounds Megaplace;G2;816-455-8733;M1
e6f2d9773b1c85f9ff1817adc6ea2fca9ab70b969b18075445e568abd4532409;10023447;RKS Shop;G2;816-455-8733;M1
752b2e7e39f49dd655563e1182015f8156eab50afff5d64c694f086cb95fdc30;10021223;PacificServ Shop;G2;816-455-8733;Não informado
6e262bf3368289d403ab33245c9d87262819daccbf687d4b014be32d344f6c85;10021911;Ping Shop;G2;816-455-8733;M1
3d2469ff2295c3bf3c45d584adc8b6e28210b94a77bf5dd67eefd9ecfb03bf14;10005006;Betacorp Shop;G2;816-455-8733;Não informado
cd5f1471431d4176337a951dbd1d26c5bc136ef20480f702e5efc27b71dc1f47;10025023;TAL Store;G3;816-455-8733;Não informado
25cede872b29e25d58350633f74ecf07395d23f62b27f6bee26a8e819e269c64;10022755;Real Supermarket;G1;816-455-8733;M1
d88469fa46543c711b91081bac92f06734101c7968e59c1df56bd1420bbe358e;10012600;FireTrans Shop;G2;816-455-8733;Não informado
fb03d7e1f78e3e7c1266a043d4d17b59c033c9bda8a65cc45db482656a2c4646;10000458;A&R Market;G2;816-455-8733;Não informado
4790b99694bb40c6295df307ae369a9510b4ec41c2a0f3fe33591dab8554f201;10010974;EDS Shop;G2;816-455-8733;Não informado
9048710ae789670bcd37f9b1642985be8f2143e5aeed61d08a5205802540c1f5;10015956;Hidden Market;G2;816-455-8733;Não informado
74f332525f57242ac9ad0c872161d3c0a86114bbf268dd423505eed947880fa5;10002142;AccuCom Shop;G2;816-455-8733;Não informado
098582d5aaa95d0ad7e859e5b431e471c3ea819036f03714edb1ab6f44749402;10012425;Fins Shop;G2;816-455-8733;Não informado
9a4447d13d1faaa64dd301eafd167b4caf4e14bfdbf570e7dc85665ca2e1df69;10011398;Ethyl Store;G2;816-455-8733;Não informado
e17377711778f1ed234bceddcd79f9aca1bc5a2ae4ded0d2a11f50d83bc8ce74;10021668;Pathlight Market;G2;816-455-8733;Não informado
a4a650fc24480dbc189b9a59e05eed379fcb3bffea51e8b21f19310f90c6f748;10000461;A1 Store;G3;816-455-8733;Não informado
0490b83e02523b03c277ed4a3d749b8d7753c1eb52f05a14ac9e40410fa53ce9;10016303;HMR Shop;G2;816-455-8733;Não informado
5eb76a6d6beaabd1853233551fa69e995adfb8b3e0a9ac29e7f70868ad1a2725;10002520;ActivCard Shop;G1;816-455-8733;M1
a029f837e85bf2679e3118391e073d4dd00b6a0402e0f95f389691e4c6966695;10011499;Farmland Supermarket;G2;816-455-8733;Não informado
a893525bd53a1ba51618061491fcfc083c2a89064068cf80f9384c272dc18930;10014779;HBO Supermarket;G2;816-455-8733;Não informado
25fb51d188ffb1f42e42778cd5861a24716df21401a41c4b6441e5789554bf26;10016548;Home Superstore;G2;816-455-8733;Não informado
d6a2c800383e346ceece304ea13753d8911f02e490eba6ebbb118d47eaa1d722;10025552;Unison Medistore;G2;816-455-8733;Não informado
1476297c25072052a491a54ada1bb1111ab71ed71d5a145ccb8b6c7f06b66d2a;10025353;Total Store;G2;816-455-8733;Não informado
555e206282fec0d328c62dded85000d82bcc3ea24e6d44b159e060c488205d4b;10025575;United Market;G3;816-455-8733;Não informado
8f1636221a781d3fb824cfdfb7715e264d4191a2b124c191e25271932ebaa50d;10013472;GE Market;G2;816-455-8733;Não informado
c5a85103438b3650e8a2fa9616408f7a147fb8774167430f177b8b46bc13a253;10022167;Quallaby Megaplace;G1;816-455-8733;M1
d06a62ee5fb731090bc443b5bcec9facae4660c540c142b4b3df9251272a2b9f;10020192;MATRIX Shop;G2;816-455-8733;Não informado
e67d0da091e69861c320b3877f748d511f8d29008f6041918c5d887ee2b7e4f4;10012761;G.R. Supermarket;G1;816-455-8733;M1
3ca6225b7343befd38e083713317780adcb92361afb9d0bf5b5807e45cde566e;10025392;Ultimate Supermarket;G2;816-455-8733;Não informado
7e9a5c7fcc3060bf52b21d1c5ea424df1dc71718e744a3bd82e0fe2f0cacbc79;10027381;Zero-Knowledge Supermarket;G2;816-455-8733;Não informado
47a82ebc912eb0ad75e25442630cc4ffd6ae4204210cec0fd8fa0581a48aaf99;10021107;P.C.G. Supermarket;G2;816-455-8733;Não informado
09fb5615874d34699ec60df91b9b7d10cfc3541b4ce1f303b284f7c555b3771e;10025304;UBF Shop;G2;816-455-8733;Não informado
51436147d8a687df080a25779bd3e121b867c20c80a84bbcbf9ada69954daf91;10024270;Signatures Superstore;G2;816-455-8733;Não informado
2b65d6a32bc0eab368e3993b3accb1ad002530d0d0b44ede56deba7325203f40;10013188;Gartner Supermarket;G2;816-455-8733;Não informado
db154185b2c561702c96a24802ef9b5d3ea0346990c14179577dd46e58dcc26d;10009662;De Store;G2;816-455-8733;Não informado
3c103d8492f0940da3dee73f7496cab6e50836e735a0f5913cacf029db7b8370;10020184;Matradi Megastore;G2;816-455-8733;Não informado
bc8bcbbe96d54d749c1206ddb067b0b79c5712ca3646bc75971cef3018222caa;10022764;RealiDyne Shop;G2;816-455-8733;Não informado
b30e150e33e7e71d5e7ccdfbe0dc414eb7509a5d08f4030cb3cd569630599f88;10023516;SAIC Supermarket;G2;816-455-8733;Não informado
540f19bf8345f95604b7288d312306417071c011230e33c93870c6ca479d6277;10027370;Zeroo Gigastore;G1;816-455-8733;M1
f7cc505008e5a2521208c3d7eb6ef7a804f8ddc2f986d3298b1a2cc8952f0f5d;10015030;Hegemony Shop;G2;816-455-8733;Não informado
e06bee48f91cbe7ac928b53bf31400ed0afc96ba1391b4d26dde14800de5a94b;10017553;iLanguage Shop;G2;816-455-8733;Não informado
3f48c88c0791630ad9eccb3857435f730b22ca39139604eff2320e8a8d72b0c9;10025022;Take Supermarket;G1;816-455-8733;M1
af9078b0ec15e22c83c72a26d06f6e3e6606111401f752bebcdc7232f6f758ad;10008381;CAPCON Shop;G2;816-455-8733;Não informado
e88889945806429954a39c44304c162488f364dfc5662b52d9b7d977a4cf9837;10002526;Active Shop;G1;816-455-8733;M1
7a6e92487bb49e29ed1b677cfaf76ae14473aa94614167edf95582083fc283fc;10021184;Pacific Supermarket;G2;816-455-8733;Não informado
7deda194d21d203a90d0d17cfb5e7368f8e5c9db147c012b4bf0dba9eb1f5c7e;10020864;One Store;G2;816-455-8733;Não informado
ee93646422a9787ebed7a5785258b78a70af10277f324f04dfc7a3b4d1a141f2;10020868;One Market;G2;816-455-8733;Não informado
33fdd39df934c1d1a868aebb757c48f54fe45dd7ef6d9102628c8f2b91b9220d;10024999;TAGnology Shop;G2;816-455-8733;Não informado
0e2733eb53f30b0e40c38dc3150028459ad2042188826824a532e42f95e4f2bd;10010855;ECI Supermarket;G2;816-455-8733;Não informado
c1567d35225678bbae4511dcf42909cb45d9abd61da5db1dae78a7b934e29187;10025241;TeamStore;G1;816-455-8733;Não informado
d2e817653141c28234b1aaa8c6310393832024476511e8920f97c68e75679877;10026055;Dellovade, Supermarket;G2;816-455-8733;Não informado
00e2da926ed96ab7b8991b1cb2561a7a51fa29c41bb2aa2fc74af581998a940f;10013079;Gandalf Supermarket;G2;816-455-8733;Não informado
45edd446685029065d6445eedd8a5c0277d7906218f8bcab5c9188ec53f0e602;10023489;Robust Store;G2;816-455-8733;Não informado
dc51894483f1714cfbc35531d311170785284c2d0e926e017f334d652dce5356;10014804;HCS Shop;G2;816-455-8733;Não informado
68b3978ac4fa37018febb19133658095d825a7950534638caf4a6faa25fc3afb;10018665;Kaim Supermarket;G2;816-455-8733;M1
6b41ea61912feee6b467376a72ed8e553c8bf9c83c0fcd85d0e7d26cecea7f3a;10009697;Debian Shop;G2;816-455-8733;Não informado
7af65945d1418dabd6eea8cca1d64859de9f20876468ef0dd619d8a56dc9ff0f;10018871;Karsings;G2;816-455-8733;Não informado
9e255f4290560337b35cdd523e69f09b9ec836cb467fa94f5a17334c20e3570c;10009643;David Store;G2;816-455-8733;Não informado
23353342eff7c47dcdb9ea8381aac5cc941f2601a79f78aff3dc62871fc2f998;10018603;K&K Supermarket;G1;816-455-8733;M1
71f414427aabc903f25f44cea22377d1cc48274d5044d690efb29726180cf763;10009885;Degolyer Supermarket;G3;816-455-8733;Não informado
dbcac325a84217e27c52177f8e7171d9d385dd22a2287c6d466dbde7ef004e9f;10019420;Keystroke Market;G1;816-455-8733;M1
d032e78a33eb44e059d8d261d2bc0c14aaf8f0c0c7cdee16c636db3438e6ec60;10018644;Kabbalah Shop;G2;816-455-8733;M1
9c0006ff6f6b0c9f267c886824190bf824be5cc607548f1d9aefc6717a46d58b;10022678;Rave Supermarket;G2;816-455-8733;Não informado
c9c460248c83e23e3f528aa9b2c6d2dc78080ecbb93ef0fc878455b9ab9df728;10017576;Illuminati Shop;G2;816-455-8733;Não informado
5feb2720f7c075e5a49e6f5f567a59e30a55ab4ed69793915f85d50f2afc7aa2;10020492;NBTel Shop;G2;816-455-8733;Não informado
04a28467dc2ac6e70666b3a57ff1f35ba27ad08a8c088f96c38ae09376f86726;10002969;activeDesign Shop;G2;816-455-8733;Não informado
9dc5dcbf459b75bf10fc7beeead575a042e9f3e0b6b4aeb5ad1610e797ec9f57;10021139;Pace Shop;G3;816-455-8733;Não informado
cf3c0f714ff704c1fc9e396bdaa8f282506063f01dd19f8888e084e303a18782;10008893;Caravelle Shop;G2;816-455-8733;Não informado
f3bc1223f73f442282102c5ac4c1c92e077269223eacb24d3240a2e7409af571;10013039;Gamma Supermarket;G2;816-455-8733;Não informado
0d8e5bbbf338b202aa6766a003571b2c723fa3784400027bd3dffcffabbc6344;10024262;Signature Shop;G2;816-455-8733;Não informado
497d9dec50a06673eeffa9e41fdfc02d6d0e8ddd11054f88c9c9867c0fd552f3;10011842;Fentek Market;G2;816-455-8733;Não informado
c9be7790cd7f73fa9a547703bf107dc9c0ca51ee90203c9247753f40891a881d;10021380;Pangaea Store;G2;816-455-8733;Não informado
9bc477113fc38c447d74b99952dad1053b27ca724372c0b9fa8e3242a3d07585;10002114;Accel Supermarket;G2;816-455-8733;Não informado
ac7e8d3ad923ec866828b3cfe3ac161520ea62b80876b135f4d1e60bb1365100;10016780;iBEAM Shop;G1;816-455-8733;M1
27ecb9662e656f01cb51079bd238dc918eb71e8b3e115f251b98b2ba3c0a70fa;10025769;UUmail Shop;G2;816-455-8733;Não informado
3ea74d255e74d787d3c59c25b676d3a00f81f607999e255f292df1157ddb56c7;10009660;DDR Shop;G2;816-455-8733;Não informado
506d5c01fa27a465f12592a5940ad1ac8c80809c2ffb6b7ba288a878b7ca3cea;10026532;Xediom Shop;G2;816-455-8733;Não informado
754ca0f3b2856c271a278d25a070bf8bdd55acb87eb39d1a34adb48b5d88cc01;10016334;Hobart Store;G2;816-455-8733;M1
6f04cabd12e053049d0c3cd3e8f123788e502dd5e914527c660948e8fb32856f;10019400;Keystar Superstore;G2;816-455-8733;Não informado
5f84fab10e507b6d0c6f26de89d061df658741eb06acdebba7de2a029f142d72;10014495;Harvard Supermarket;G2;816-455-8733;Não informado
7267f70952665aad1424f15a952babf0bb784706aa7be58ff2d26acf2e224be7;10021412;Panngea Shop;G2;816-455-8733;Não informado
28cdedccb877f0e79b5bfbbce06ed4230bb079f230e22e81afc00efa21a94998;10022730;RC Shop;G2;816-455-8733;Não informado
dd673b818276dadbd730a877de087e8a014112115a68e02e3691b0ddc96eec44;10010882;EDA Supermarket;G2;816-455-8733;Não informado
75e61e7b174b04a7ef8a4152ce6eadf0974c778fcd80c04bcfec72e9f144e030;10023757;SAS Supermarket;G1;816-455-8733;Não informado
5f8bb74d39d15e763f2c038237054c39dd461d8c16e93ed50a0a82da745c25e1;10024924;T.M. Store;G1;816-455-8733;M1
be26b464e9786e10a29710b22e39a6b2073bc46c96662985a14e41565e19e3b5;10023003;Remedy Shop;G2;816-455-8733;M1
517c52dddc3d19471b1156cbf66c7ee865276b76c859fe7d68453cb25179bf33;10026365;Whites;G2;816-455-8733;Não informado
19a16aed3b52d5eb6e08ce5d8c79c4fd7044898f98368c2b76a5e9196bb488b0;10024541;Southern Supermarket;G2;816-455-8733;Não informado
248b1ecf821bd078e28773ba16e12cc7d9fd70cf8cc184e2b38e4e09f1ab1f2d;10024930;T3West Shop;G3;816-455-8733;Não informado
24e9a2eaa2a7e0703f643e9bdb7e00a646c0e6160c73c3ba98786cc3c8be332f;10022168;QualServe Shop;G2;816-455-8733;Não informado
a2bdbd7600fc5fb16c5024e8f26a90a968e4bcb07fe03c10056b2e839dcffa00;10018371;Joy Supermarket;G1;816-455-8733;M1
09bdd42f19129c8c0b6666b1d4f282c32a5e20db91a7b8e6fa1eeae524b38ed9;10024477;Smith Supermarket;G1;816-455-8733;M1
201fd882e1e0111b77326e3fbfa6bc4ae2f61375137061f2cb007270cda460d2;10000486;Aberdeen Shop;G2;816-455-8733;Não informado
07eadceaa4390c94048c44e3e7ff76e706bac2a4c631c95f870293198518819f;10019879;Litton Shop;G2;816-455-8733;Não informado
ef442b29d787d0f2d5d2e097061d71070338893c96671a1ec66eb4c42760ac3e;10018518;K Shop;G2;816-455-8733;Não informado
b0a383af826581321e2e0599ca573f06393b9314acab4ab76339cf8c2001af86;10000453;A Supermarket;G1;816-455-8733;Não informado
29ba649aec357b37b9fbfe1d640e79b82ad90f3ebb47a0f409ebfbdd40faae57;10013426;GDC Shop;G2;816-455-8733;Não informado
b2506245d494171158bf3e4104cd464c5987ce8ea6860899cd14d38d1e037cba;10025243;Teca-Print Shop;G2;816-455-8733;Não informado
e18818d8d4a419c38345dc4071a42ba4925d31a9b33267a0f5145fda315edda5;10000480;Abbotsbury Shop;G2;816-455-8733;Não informado
0a0a52fcc13bcbd99b4d03d6829a503ce0cac72e2ffd1be1d3908537bb2b08f0;10019682;Lamson Store;G2;816-455-8733;Não informado
2baf8336e0a2fb72bb4640f26c96ccf428427e2c0aaaf79d93b2df32aec81c2d;10009652;Dci Shop;G3;816-455-8733;Não informado
446f5c342ce2c6c4d75ca0c055db6e7a116d68a75ebeaf8e1f3ea70e49e07509;10024003;Scientific Supermarket;G2;816-455-8733;Não informado
6c84d85c3394d01b75c4d049cc7b12f66628f54b8b4c4c3c8ee151694096b459;10006846;Bizmarts Shop;G2;816-455-8733;Não informado
bbd8172b53968b911eb3ed809cdd4468a51eaee1e1f368638615138c0af213f3;10025560;Unisys Supermarket;G2;816-455-8733;M1
3c897f8630a6cacd75edc4e8cc8f8d11edc6da10276e2c3353f3160be0a12cf9;10010969;Edorex Supermarket;G2;816-455-8733;Não informado
ab8a412776fca8bb51d011f736966d70863580e267a13b64a5329302d369f110;10002412;Acsior Shop;G1;816-455-8733;M1
ef6e30c2e6cd8c71f7eca65df97a57d6e421bc764a4029d88398b0bf2e842181;10026606;Xilinix Midstore;G2;816-455-8733;Não informado
fbe6325cd44a84f1e3a613ab96df10fe4c5ace99aba4c1a9e431a0434329aa96;10020247;MAXSTRAT Shop;G2;816-455-8733;Não informado
31909f2b6e24612ef83fdbae819e22508e74d260625b11817b54d8fe49ffa83a;10020715;Old Store;G1;816-455-8733;Não informado
6895d680867232054648bd9f6d2d835c8f673cd93f04f3ff783dd263a1858adc;10000471;Aadast Shop;G1;816-455-8733;M1
06262679c61fa2d20526c7ff37288a75ab262d003ffee0261a4c21c00d810974;10021179;Pacific Store;G2;816-455-8733;Não informado
c4bf57d268f54ee6b153dec6029649a94cb0e949f08f3f54fae92393010d2c2d;10014469;Harte-Hanks Market;G2;816-455-8733;Não informado
6c0b7e439bd4ee250365055ba5b61fa1196a5060c1510c95a9fda4996cdec418;10025037;Tampere Shop;G2;816-455-8733;Não informado
c8a5a22c7ea4d0a8b5e96d8370409e0d14ce89489c59a26333e5b6559f9befa3;10011821;FenP Supermarket;G2;816-455-8733;Não informado
f54dfa3941a446077136b8fec7aad698d04bd518511244831ace38dace6edced;10025583;United Market;G2;816-455-8733;Não informado
65ea01dcb3a0628c130f695ad1f9d18d54bac059fa9e450a123d0a9d3a72a867;10017054;Icon Market;G2;816-455-8733;Não informado
d9d1fbdd1446ddd987dc0370075d10ec55726e6dc8f7bb36dab6a4494525b14a;10022249;Quantum Supermarket;G2;816-455-8733;Não informado
3c5e349f7297084b966f2c4ff5b05675896cfc0e9aca3affb1f2017fa88f173d;10002154;Acer Superstore;G3;816-455-8733;Não informado
a42b4b488bc97dfebd11ff451d857295ea96c729ae51b58a87f4f2eba6da76fb;10002136;AccessWare Shop;G1;816-455-8733;M1
f71f2606edd2c18e7819a6eac718614546ba0c8d31ccb30ea4445a9ac3440e18;10007123;C Supermarket;G2;816-455-8733;Não informado
6c5cdc6604bc79a1e398491a0a73a3196a6d8032130bb6aee0bc20d3d3dafb84;10026843;XVT Shop;G2;816-455-8733;Não informado
4fa79cf0b5f9066db7cd8fc3e0919ce8fc7bdf17cfa7619d09e4878ff1fcd42e;10025036;Tampa Market;G2;816-455-8733;Não informado
dbeb669ce0bdea5f04dee3c56fe1b30312f86036ca2dff1916e42d7e8ab8f44a;10010865;ECS Supermarket;G2;816-455-8733;Não informado
9f579ca183dde77521ddb9963ae26bf8f99fdc0d615e08ead27444ee75861679;10025238;Team Supermarket;G2;816-455-8733;Não informado
c9092545f5dab9da6714cc0da13b81c0fd7f3a8d2de1cb5444a0bb0f48476423;10012158;Filene? Shop;G2;816-455-8733;Não informado
ce8b22315caba0969fe07436c9feb75781cf692f21bc2a31521085770f043486;10007866;Camros Shop;G1;816-455-8733;M1
e550b85dda406e739eb40f7e7542ce42d9b190a2b15febfe40ab4f9151a65508;10012161;Filetron Shop;G2;816-455-8733;Não informado
26568a4a633a3b221c6894bbb8fb1ec960f3cef0ef534cf4bd7d85b4d536dd5d;10024743;Stone Supermarket;G2;816-455-8733;Não informado
137788553ed05886a8d5912c0f75adbb7f8cf46b81c5e10234d77d7c7acb84b6;10020332;Medics Shop;G2;816-455-8733;Não informado
5a5e99b5e91aaed3e9a21d90a6cea25513e8781e2871f1d37a47923555b79fe4;10020364;Mersey Market;G2;816-455-8733;Não informado
786e8d0fb06127f7616e1ba313c9a3466ccb0ad426fe4b359ada336969118a43;10007457;CalComp Shop;G3;816-455-8733;Não informado
6cb9a26c9c1d10a9ce90cc95f2ba9edbd1241897fb347967ea642c1934abd797;10014264;Harbour Store;G2;816-455-8733;Não informado
fd27f8123c9575f4fcb0609fc191a918bf52ba5bad7182d6952e3848fc7406a1;10024255;Sigma Shop;G2;816-455-8733;Não informado
5644241317ada3e4a4e211fb65f5d47e623f9f96ce6823ee483ae1d674ec7db9;10011360;Equitable Store;G2;816-455-8733;Não informado
92e5ff1c95ed7867373144f48e002d653e12b9ea5ae3c27eb26e681b069434ea;10026861;Xyplex Shop;G2;816-455-8733;Não informado
21e1863c14e4b3d0148494629529ba53d1821826511f9ab49b6db84a5a06127a;10020672;Oki Shop;G1;816-455-8733;M1
38d8f089f19208863f937ec72771892b8a9b8dfff595d044795d19bd8592d995;10022456;Ra Maxistore;G2;816-455-8733;Não informado
2ff761a0e764bff8e577b8434dbd27bfe2a1d897d9828b289787e5ca2f7ac4d9;10001786;Acara Shop;G2;816-455-8733;Não informado
760a5e95acc928f94beccbcc422918621b2a1957d9a696972a6b2f37c960ebb5;10025298;U. Supermarket;G3;816-455-8733;Não informado
4bfab6a5175f4c43d12a808d06ed94c10dfe44caa0822275eb2461113fe1a177;10013332;GateMaster Shop;G2;816-455-8733;Não informado
19431355411a85b9ef85c4e0eca200bb3313bdc961a36e1c3a5722ecdf638972;10027572;ZipLip.Com Shop;G2;816-455-8733;Não informado
6d9e54025ed7e4e6ef85f859d2d40898900c03430d80e00a42d076f30b7591f1;10014540;HarveyOpolis Shop;G1;816-455-8733;M1
c06619ba3e77b246552d3dca9c0ab03e48d33032edfd4e02aa1413ea11a23479;10019514;Kimball Supermarket;G2;816-455-8733;Não informado
dd0ff8707e114513b6e058d178f0213cc357f38cc253d374f0dbd9b5575e64bb;10021459;Papyrus Shop;G2;816-455-8733;Não informado
7951e1282a03a3c3e39166b7879d89d1871c691236e61cde35121a7eb0d1e662;10002150;Accumedic Store;G2;816-455-8733;Não informado
aaf258bf7c4da6f803a17280f1735f5cadd641a084c36f8dcda0eb8e1d391b97;10025814;Valpatken Shop;G2;816-455-8733;Não informado
88c5e2e5fe09af409be9ee6a9b58fe667a7f07ccff42cf40ab12a4c84853d4f7;10021804;Picka Superstore;G2;816-455-8733;Não informado
f176c59567b4bc982f1db9369d14a90fc07d17ab9274e733aa8d343df1de4c0f;10022732;RC Market;G2;816-455-8733;Não informado
e57be243846ad1668e353eaec777fd2e229ecfdd672cc00a8a0957c4a4f86ae6;10020266;Maxwell Supermarket;G2;816-455-8733;Não informado
2eb40b535d91c7472f4b6c062b145de420da3abc2794aca2067b11e463f85800;10025359;UKnames.net Shop;G2;816-455-8733;Não informado
59a229f5b1ce3702531f37c9c9f5d4f64cd4cbd9d28bc64106c356e21284c413;10013538;GEAR Shop;G2;816-455-8733;Não informado
f0f5a6b94fea09a8f302671b179d146e1e3bb34a8939331dd5bbe5f4f64b79f1;10015275;Helios Shop;G2;816-455-8733;Não informado
7dbe486b34051baa1d687f5924cf8bc55e4edbbb86a04359ccce50f62e7bb60f;10013127;Garbee Supermarket;G3;816-455-8733;M1
e8a01e3095a883e93c4a5bbad543826012e6068492fafc3fda8ab1741bfeca7c;10011052;Elucidex Shop;G2;816-455-8733;Não informado
4a13d06ad1d1ad42a7db087a8abad867e1036c3fa9a72caf61b07f4ad5457f01;10024009;Scottish Supermarket;G2;816-455-8733;Não informado
1c9552e704326d2d61b9b260e6eb6435b6e5d1a1ca4aa93788a9c05ebc1de194;10025250;TICOR Shop;G2;816-455-8733;Não informado
ad90a6f40171fd0463e882dbc7f50084a20bc8d5cce9faec46c39721f46f0e85;10025289;Tredegar Market;G2;816-455-8733;Não informado
ec0c45683324c2a8384ed9107d81a45707afcc871a7af83471b86a27b779eceb;10025558;Unisys Shop;G2;816-455-8733;Não informado
743f8a4e16992427311b96b52949bb72d77795131838db0b3db2aef93a274ed1;10024248;Sifton Supermarket;G2;816-455-8733;M1
943f7b98022f558c0d6225ab044a3e5a9e611fd3097b9d095284545651c77390;10005043;Bezeq Shop;G1;816-455-8733;M1
063e30332b8bdccb4ed9ab3f3fb7b894acc20493ce3caf9e36af00abb5e161da;10025021;Tailwind Shop;G2;816-455-8733;Não informado
e8bf7d69d45cf8b80a2f3e0b7009b867569d0f2c3c054f837e335e1ba0d4a095;10019150;Kentucky Supermarket;G2;816-455-8733;Não informado
8d9af1c67e755edfd1e9cb9ef86eef1984c1a3816890ea3514bff896fdc9c2aa;10020227;MaxBan Shop;G2;816-455-8733;Não informado
57d59595a389b8d31c1ab288e2cc714b22a139e23611826893f1b44e66cd6339;10002155;ACES Supermarket;G1;816-455-8733;M1
c0a901051c339f814ee983b3f686ee01bb9396a7559a3d9f39f10d31dd234d2c;10017036;Icon Superstore;G2;816-455-8733;Não informado
9db738089fcc5f34533736838eca7486d68417526d0813a7fe7588771154d778;10018885;Kawneer Market;G2;816-455-8733;Não informado
f25a7dd6f371f06cf66b90bd804d407f3ce865ac9b245c0c983109480db72cca;10021222;Pacifico's;G2;816-455-8733;Não informado
d035a63c5dd2e4f3b9f2b65639591a249437c581d0af0616042d88be8affb0ce;10023715;Diss Gigastore;G2;816-455-8733;M1
f48d2af133b8201d5f4fc837c86ba4351211a8ea9876b48fd58822bb5c97da01;10020181;Markets;G1;816-455-8733;M1
f569cd2b90ced6eecf803d21cdbfccfcc799e875103366bf54f0b0e781c93746;10020393;Minneapolis Supermarket;G2;816-455-8733;Não informado
8883da02836f194b452047e7c1d399c98153e0af510a9c765d5cc6f4bc493d62;10021283;PageBoy Shop;G2;816-455-8733;Não informado
55cc31bb0fdca7afba96cf9e7643ba096faa33120a64d620095eb21778dce4bb;10002709;Active Store;G2;816-455-8733;Não informado
e7771b798eb7c944b631db4ea3ef195be0a9945e75e41a6dfe7e66ef6291b28e;10011018;Eloi Supermarket;G2;816-455-8733;Não informado
770d316edafca2111a841634cc28fea651f92525d4ea993a9df52d837907624e;10022434;R&R Store;G2;816-455-8733;Não informado
9a96e03c3665d706008a9283a56a6ee6582df86df21923137c5dbe2ca27b0bd6;10025246;TECC Shop;G3;816-455-8733;Não informado
b43c27bb084942e5d206c00e653ca38605f80a9238b4b606dbaf8871a87964d2;10026294;Wasabi Shop;G1;816-455-8733;M1
